date,AFM
2019-11-13,1005.0
2019-11-14,1005.0
2019-11-15,1005.0
2019-11-19,1005.0
2019-11-20,1005.0
2019-11-21,1005.0
2019-11-22,1005.0
2019-11-25,1005.0
2019-11-26,1005.0
2019-11-27,1005.0
2019-11-28,1001.0
2019-11-29,1005.0
2019-12-02,1005.0
2019-12-03,1005.0
2019-12-04,1005.0
2019-12-05,1005.0
2019-12-06,1025.0
2019-12-09,1025.0
2019-12-10,1025.0
2019-12-11,1025.0
2019-12-12,1025.0
2019-12-13,1025.0
2019-12-16,1025.0
2019-12-17,1025.0
2019-12-18,1025.0
2019-12-19,1025.0
2019-12-20,1045.0
2019-12-23,1025.0
2019-12-24,1025.0
2019-12-25,1025.0
2019-12-26,1025.0
2019-12-27,1025.0
2019-12-30,1025.0
2019-12-31,1025.0
2020-01-02,1025.0
2020-01-03,1025.0
2020-01-06,1011.0
2020-01-07,1020.0
2020-01-08,1020.0
2020-01-09,1020.0
2020-01-10,1022.0
2020-01-13,1025.0
2020-01-14,1025.0
2020-01-15,1025.0
2020-01-16,1025.0
2020-01-17,1050.0
2020-01-20,1050.0
2020-01-21,1071.0
2020-01-22,1071.0
2020-01-23,1050.0
2020-01-24,1052.0
2020-01-27,1052.0
2020-01-28,1052.0
2020-01-29,1052.0
2020-01-30,1052.0
2020-01-31,1032.0
2020-02-03,1032.0
2020-02-04,1032.0
2020-02-05,1032.0
2020-02-06,1032.0
2020-02-07,1032.0
2020-02-10,1025.0
2020-02-11,1030.0
2020-02-12,1030.0
2020-02-13,1030.0
2020-02-14,1030.0
2020-02-17,1016.0
2020-02-18,1020.0
2020-02-19,1040.0
2020-02-20,1040.0
2020-02-21,1040.0
2020-02-24,1060.0
2020-02-25,1065.0
2020-02-26,1067.0
2020-02-27,1067.0
2020-02-28,1066.0
2020-03-02,1070.0
2020-03-03,1070.0
2020-03-04,1066.0
2020-03-05,1066.0
2020-03-06,1070.0
2020-03-09,1050.0
2020-03-10,1046.0
2020-03-11,1046.0
2020-03-12,1025.0
2020-03-13,1010.0
2020-03-16,990.0
2020-03-17,990.0
2020-03-18,974.0
2020-03-19,960.0
2020-03-20,941.0
2020-03-23,943.0
2020-03-24,943.0
2020-03-25,943.0
2020-03-26,960.0
2020-03-27,963.0
2020-03-30,963.0
2020-03-31,982.0
2020-04-01,979.0
2020-04-02,979.0
2020-04-03,979.0
2020-04-06,979.0
2020-04-07,985.0
2020-04-08,990.0
2020-04-09,990.0
2020-04-10,990.0
2020-04-13,990.0
2020-04-14,990.0
2020-04-15,990.0
2020-04-16,994.0
2020-04-17,994.0
2020-04-20,994.0
2020-04-21,998.0
2020-04-22,998.0
2020-04-23,959.0
2020-04-24,948.0
2020-04-27,941.0
2020-04-28,940.0
2020-04-29,952.0
2020-04-30,970.0
2020-05-04,979.0
2020-05-05,989.0
2020-05-06,999.0
2020-05-07,1000.0
2020-05-08,1001.0
2020-05-11,1001.0
2020-05-12,1001.0
2020-05-13,1001.0
2020-05-14,1001.0
2020-05-15,1001.0
2020-05-18,1001.0
2020-05-19,1001.0
2020-05-20,1001.0
2020-05-21,1001.0
2020-05-22,1001.0
2020-05-26,1001.0
2020-05-27,1020.0
2020-05-28,1020.0
2020-05-29,1000.0
2020-06-01,1004.0
2020-06-02,1004.0
2020-06-03,1005.0
2020-06-04,1005.0
2020-06-05,1005.0
2020-06-08,1005.0
2020-06-09,1005.0
2020-06-10,985.0
2020-06-11,989.0
2020-06-12,995.0
2020-06-15,1000.0
2020-06-16,1002.0
2020-06-17,1022.0
2020-06-18,1025.0
2020-06-19,1025.0
2020-06-22,1005.0
2020-06-23,1005.0
2020-06-24,1005.0
2020-06-25,1005.0
2020-06-26,1005.0
2020-06-29,1005.0
2020-06-30,1005.0
2020-07-01,986.0
2020-07-02,994.0
2020-07-03,1000.0
2020-07-06,1004.0
2020-07-07,1004.0
2020-07-08,1004.0
2020-07-09,1004.0
2020-07-10,1004.0
2020-07-13,1004.0
2020-07-14,1004.0
2020-07-15,1010.0
2020-07-16,1009.0
2020-07-17,1000.0
2020-07-20,1000.0
2020-07-21,1004.0
2020-07-22,1005.0
2020-07-23,1001.0
2020-07-24,1005.0
2020-07-27,1009.0
2020-07-28,1009.0
2020-07-29,1009.0
2020-08-03,1029.0
2020-08-04,1028.0
2020-08-05,1017.0
2020-08-06,990.0
2020-08-07,1001.0
2020-08-10,1004.0
2020-08-11,1005.0
2020-08-12,1005.0
2020-08-13,1005.0
2020-08-17,1005.0
2020-08-18,1004.0
2020-08-19,1005.0
2020-08-24,1005.0
2020-08-25,1005.0
2020-08-26,1005.0
2020-08-27,1005.0
2020-08-28,1005.0
2020-08-31,1005.0
2020-09-01,1005.0
2020-09-02,986.0
2020-09-03,995.0
2020-09-04,1000.0
2020-09-07,1005.0
2020-09-08,1005.0
2020-09-09,1005.0
2020-09-10,1005.0
2020-09-11,1005.0
2020-09-14,1005.0
2020-09-15,1005.0
2020-09-16,1005.0
2020-09-17,1005.0
2020-09-18,1005.0
2020-09-21,1005.0
2020-09-22,1005.0
2020-09-23,986.0
2020-09-24,994.0
2020-09-25,999.0
2020-09-28,1005.0
2020-09-29,1005.0
2020-09-30,1005.0
2020-10-01,1005.0
2020-10-02,1005.0
2020-10-05,1045.0
2020-10-06,1045.0
2020-10-07,1045.0
2020-10-08,1045.0
2020-10-09,1045.0
2020-10-12,1045.0
2020-10-13,1045.0
2020-10-14,1045.0
2020-10-15,1045.0
2020-10-16,1040.0
2020-10-19,1040.0
2020-10-20,1040.0
2020-10-21,1040.0
2020-10-22,1020.0
2020-10-23,1020.0
2020-10-26,1020.0
2020-10-27,1020.0
2020-10-28,1020.0
2020-11-02,1019.0
2020-11-03,1020.0
2020-11-04,1019.0
2020-11-05,1018.0
2020-11-09,1018.0
2020-11-10,1019.0
2020-11-11,1020.0
2020-11-12,1020.0
2020-11-13,1020.0
2020-11-16,1020.0
2020-11-17,1020.0
2020-11-19,1020.0
