date,CMA
2005-05-02,580.0
2005-05-03,595.0
2005-05-10,575.0
2005-05-11,580.0
2005-05-12,578.5
2005-05-18,579.5
2005-05-19,580.0
2005-05-20,582.5
2005-05-23,583.0
2005-05-24,587.5
2005-05-25,587.5
2005-05-26,590.0
2005-05-30,597.5
2005-05-31,600.0
2005-06-01,600.0
2005-06-02,600.0
2005-06-03,600.0
2005-06-06,600.0
2005-06-08,600.0
2005-06-10,615.0
2005-06-13,600.0
2005-06-14,600.0
2005-06-16,605.0
2005-06-17,610.0
2005-06-20,600.0
2005-06-21,605.0
2005-06-22,610.0
2005-06-23,610.0
2005-06-24,620.0
2005-06-27,635.0
2005-06-28,635.0
2005-06-29,637.5
2005-06-30,637.5
2005-07-01,635.0
2005-07-05,635.0
2005-07-06,637.5
2005-07-12,637.5
2005-07-14,637.5
2005-07-15,650.0
2005-07-19,655.0
2005-07-25,662.5
2005-07-26,662.5
2005-07-27,655.0
2005-07-28,665.0
2005-08-01,665.0
2005-08-02,692.5
2005-08-03,700.0
2005-08-05,690.0
2005-08-09,665.5
2005-08-10,675.5
2005-08-12,690.0
2005-08-15,700.0
2005-08-16,715.0
2005-08-17,700.0
2005-08-18,715.0
2005-08-19,715.0
2005-08-22,715.0
2005-08-23,680.0
2005-08-25,675.0
2005-08-26,651.0
2005-08-29,660.0
2005-08-30,660.0
2005-08-31,660.0
2005-09-01,675.0
2005-09-02,695.0
2005-09-05,680.0
2005-09-06,660.0
2005-09-07,670.0
2005-09-08,660.0
2005-09-09,640.0
2005-09-13,665.0
2005-09-14,665.0
2005-09-15,660.0
2005-09-16,655.0
2005-09-19,652.0
2005-09-20,642.5
2005-09-21,640.0
2005-09-22,642.5
2005-09-23,642.5
2005-09-27,642.5
2005-09-29,645.0
2005-10-07,649.5
2005-10-10,649.5
2005-10-13,675.0
2005-10-14,666.5
2005-10-17,673.5
2005-10-18,677.5
2005-10-19,680.5
2005-10-20,682.0
2005-10-21,680.0
2005-10-25,677.5
2005-10-27,682.0
2005-10-28,685.5
2005-10-31,690.0
2005-11-01,715.0
2005-11-02,714.0
2005-11-07,713.5
2005-11-08,713.0
2005-11-09,692.5
2005-11-15,692.5
2005-11-21,692.5
2005-11-22,690.0
2005-11-23,690.5
2005-11-25,692.5
2005-11-28,700.0
2005-11-29,700.0
2005-11-30,690.0
2005-12-01,678.0
2005-12-02,680.0
2005-12-06,678.5
2005-12-07,670.0
2005-12-08,645.0
2005-12-09,660.0
2005-12-12,660.5
2005-12-13,661.0
