date,ALM
2005-08-01,920.0
2005-08-02,920.0
2005-08-03,925.0
2005-08-04,974.0
2005-08-10,969.0
2005-08-11,960.0
2005-08-12,960.0
2005-08-15,959.0
2005-08-16,969.0
2005-08-17,1000.0
2005-08-18,1001.0
2005-08-23,1010.0
2005-08-24,1005.0
2005-08-25,1005.0
2005-08-26,951.0
2005-08-30,956.0
2005-09-01,956.0
2005-09-02,968.0
2005-09-06,960.0
2005-09-07,912.0
2005-09-08,910.0
2005-09-09,910.0
2005-09-15,940.0
2005-09-16,969.0
2005-09-20,969.0
2005-09-21,976.0
2005-09-22,968.0
2005-09-23,938.0
2005-09-27,936.0
2005-09-28,936.0
2005-10-04,942.0
2005-10-11,943.0
2005-10-14,956.0
2005-10-17,960.0
2005-10-25,963.0
2005-10-26,960.0
2005-10-31,980.0
2005-11-03,986.0
2005-11-08,986.0
2005-11-10,986.0
2005-11-11,986.0
2005-11-15,989.0
2005-11-22,989.0
2005-11-23,1001.0
2005-11-24,1000.0
2005-11-25,991.0
2005-11-28,1000.0
2005-11-29,1040.0
2005-11-30,1040.0
2005-12-05,1000.0
2005-12-06,995.0
2005-12-07,998.0
2005-12-08,998.0
2005-12-09,995.0
2005-12-12,1050.0
2005-12-13,1052.0
2005-12-15,1052.0
2005-12-16,1021.0
2005-12-19,1050.0
2005-12-20,1050.0
2005-12-22,1015.0
2005-12-23,1015.0
2005-12-26,1016.0
2005-12-27,1016.0
2005-12-28,1016.0
2005-12-29,1016.0
2005-12-30,1068.0
2006-01-03,1071.0
2006-01-05,1130.0
2006-01-06,1130.0
2006-01-09,1132.0
2006-01-10,1149.0
2006-01-13,1191.0
2006-01-17,1262.0
2006-01-18,1200.0
2006-01-19,1199.0
2006-01-20,1189.0
2006-01-24,1260.0
2006-01-25,1300.0
2006-01-26,1280.0
2006-01-27,1291.0
2006-01-30,1360.0
2006-02-01,1300.0
2006-02-02,1300.0
2006-02-03,1280.0
2006-02-06,1350.0
2006-02-07,1370.0
2006-02-08,1400.0
2006-02-09,1420.0
2006-02-10,1500.0
2006-02-13,1500.0
2006-02-15,1500.0
2006-02-16,1500.0
2006-02-17,1500.0
2006-02-20,1451.0
2006-02-22,1450.0
2006-02-23,1452.0
2006-02-24,1420.0
2006-02-27,1400.0
2006-02-28,1398.0
2006-03-01,1361.0
2006-03-03,1400.0
2006-03-07,1400.0
2006-03-15,1398.0
2006-03-22,1350.0
2006-03-24,1350.0
2006-03-28,1398.0
2006-03-31,1387.0
2006-04-03,1387.0
2006-04-05,1397.0
2006-04-06,1397.0
2006-04-10,1397.0
2006-04-13,1410.0
2006-04-18,1400.0
2006-04-19,1400.0
2006-04-24,1400.0
2006-04-26,1400.0
2006-04-27,1400.0
2006-04-28,1442.0
2006-05-04,1450.0
2006-05-05,1450.0
2006-05-08,1450.0
2006-05-09,1449.0
2006-05-11,1400.0
2006-05-12,1400.0
2006-05-16,1400.0
2006-05-17,1360.0
2006-05-18,1400.0
2006-05-19,1350.0
2006-05-23,1325.0
2006-05-24,1350.0
2006-05-25,1320.0
2006-05-31,1390.0
2006-06-09,1307.0
2006-06-12,1308.0
2006-06-13,1280.0
2006-06-14,1340.0
2006-06-15,1339.0
2006-06-16,1300.0
2006-06-19,1300.0
2006-06-28,1280.0
2006-06-29,1204.0
2006-06-30,1270.0
2006-07-10,1250.0
2006-07-11,1250.0
2006-07-13,1228.0
2006-07-17,1210.0
2006-07-19,1210.0
2006-07-28,1070.0
2006-07-31,1051.0
2006-08-01,1052.0
2006-08-02,1052.0
2006-08-03,1052.0
2006-08-08,1100.0
2006-08-09,1100.0
2006-08-10,1080.0
2006-08-11,1100.0
2006-08-23,1100.0
2006-08-24,1100.0
2006-08-25,1160.0
2006-08-31,1110.0
2006-09-04,1116.0
2006-09-05,1131.0
2006-09-06,1120.0
