date,EQD
2005-12-09,1350.0
2005-12-13,1350.0
2005-12-14,1379.0
2005-12-15,1350.0
2005-12-16,1390.0
2005-12-19,1400.0
2005-12-20,1399.0
2005-12-21,1399.0
2005-12-23,1370.0
2005-12-26,1370.0
2005-12-27,1369.0
2005-12-28,1369.0
2005-12-29,1370.0
2005-12-30,1330.0
2006-01-03,1320.0
2006-01-04,1380.0
2006-01-05,1391.0
2006-01-06,1390.0
2006-01-09,1400.0
2006-01-10,1484.0
2006-01-13,1528.0
2006-01-16,1528.0
2006-01-17,1520.0
2006-01-18,1470.0
2006-01-19,1490.0
2006-01-20,1490.0
2006-01-25,1551.0
2006-01-26,1600.0
2006-01-27,1696.0
2006-01-30,1797.0
2006-02-01,1811.0
2006-02-02,1811.0
2006-02-03,1703.0
2006-02-06,1805.0
2006-02-07,1811.0
2006-02-08,1813.0
2006-02-09,1900.0
2006-02-10,1906.0
2006-02-13,1813.0
2006-02-14,1813.0
2006-02-16,1801.0
2006-02-20,1800.0
2006-02-21,1849.0
2006-02-22,1800.0
2006-02-23,1800.0
2006-02-24,1800.0
2006-02-28,1801.0
2006-03-01,1800.0
2006-03-03,1820.0
2006-03-06,1820.0
2006-03-07,1805.0
2006-03-09,1800.0
2006-03-14,1750.0
2006-03-15,1750.0
2006-03-17,1751.0
2006-03-20,1730.0
2006-03-21,1750.0
2006-03-23,1771.0
2006-03-24,1800.0
2006-03-28,1900.0
2006-03-29,1890.0
2006-03-30,1884.0
2006-04-03,1884.0
2006-04-04,1840.0
2006-04-05,1880.0
2006-04-07,1950.0
2006-04-13,1949.0
2006-04-17,1833.0
2006-04-20,1833.0
2006-04-21,1833.0
2006-04-24,1800.0
2006-04-25,1833.0
2006-04-26,1820.0
2006-04-27,1900.0
2006-04-28,1900.0
2006-05-02,1901.0
2006-05-04,1904.0
2006-05-05,1940.0
2006-05-10,1934.0
2006-05-12,1886.0
2006-05-16,1900.0
2006-05-17,1880.0
2006-05-22,1800.0
2006-05-23,1692.0
2006-05-24,1680.0
2006-05-25,1630.0
2006-05-29,1680.0
2006-05-31,1591.0
2006-06-01,1600.0
2006-06-02,1595.0
2006-06-06,1500.0
2006-06-07,1500.0
2006-06-08,1500.0
2006-06-09,1450.0
2006-06-12,1400.0
2006-06-13,1350.0
2006-06-14,1375.0
2006-06-15,1375.0
2006-06-16,1375.0
2006-06-19,1400.0
2006-06-22,1410.0
2006-06-23,1400.0
2006-06-27,1400.0
2006-06-29,1480.0
2006-06-30,1415.0
2006-07-05,1450.0
2006-07-12,1450.0
2006-07-13,1460.0
2006-07-14,1452.0
2006-07-17,1539.0
2006-07-18,1480.0
2006-07-19,1491.0
2006-07-20,1407.0
2006-07-21,1407.0
2006-07-24,1408.0
2006-07-25,1410.0
2006-07-26,1407.0
2006-07-28,1400.0
2006-08-07,1478.0
2006-08-08,1490.0
2006-08-10,1500.0
2006-08-16,1530.0
2006-08-17,1530.0
2006-08-18,1530.0
2006-08-23,1570.0
2006-08-24,1570.0
