date,IMO
2021-10-11,98.05
2021-10-12,98.0
2021-10-13,98.01
2021-10-14,98.02
2021-10-15,99.0
2021-10-18,99.0
2021-10-21,99.0
2021-10-22,98.05
2021-10-25,98.05
2021-10-26,100.0
2021-10-27,101.0
2021-10-28,102.0
2021-10-29,103.0
2021-11-01,102.4
2021-11-02,100.25
2021-11-03,101.0
2021-11-04,101.0
2021-11-05,102.3
2021-11-08,102.3
2021-11-09,101.0
2021-11-10,103.5
2021-11-11,102.0
2021-11-12,103.0
2021-11-15,102.9
2021-11-16,102.9
2021-11-17,102.45
2021-11-19,102.45
2021-11-22,102.0
2021-11-23,102.0
2021-11-24,100.6
2021-11-25,100.0
2021-11-26,100.0
2021-11-29,100.85
2021-11-30,99.0
2021-12-01,99.05
2021-12-02,99.1
2021-12-03,101.9
2021-12-06,101.9
2021-12-07,98.85
2021-12-08,98.85
2021-12-09,101.9
2021-12-10,102.0
2021-12-13,102.4
2021-12-14,100.1
2021-12-15,102.0
2021-12-16,103.9
2021-12-17,103.0
2021-12-20,101.0
2021-12-21,103.0
2021-12-22,103.0
2021-12-23,102.0
2021-12-24,102.0
2021-12-27,102.0
2021-12-28,102.0
2021-12-29,104.0
2021-12-30,104.0
2021-12-31,104.5
2022-01-03,104.0
2022-01-04,103.0
2022-01-05,103.0
2022-01-06,102.1
2022-01-07,103.0
2022-01-10,102.0
2022-01-12,101.5
2022-01-13,101.4
2022-01-14,104.45
2022-01-17,106.95
2022-01-18,106.9
2022-01-19,106.5
2022-01-20,108.1
2022-01-21,109.0
2022-01-24,111.0
2022-01-25,109.0
2022-01-26,109.0
2022-01-27,109.0
2022-01-28,111.9
2022-01-31,109.0
2022-02-01,110.45
2022-02-02,110.0
2022-02-03,108.0
2022-02-04,110.0
2022-02-07,109.8
2022-02-08,111.95
2022-02-09,112.0
2022-02-10,114.95
2022-02-11,115.0
2022-02-14,114.9
2022-02-15,112.0
2022-02-16,110.0
2022-02-17,113.85
2022-02-18,112.0
2022-02-21,112.15
2022-02-22,112.0
2022-02-23,111.0
2022-02-24,107.5
2022-02-25,108.9
2022-02-28,108.0
